word	valence	arousal	dominance
ducks	6.20	4.34	5.24
duct	4.86	4.17	5.17
duet	6.27	5.43	5.27
dumb	3.00	4.24	3.69
dummy	3.38	4.35	3.67
dump	3.21	4.12	3.83
dune	5.03	4.17	5.10
dusk	5.40	4.37	4.77
dust	3.90	4.10	4.50
dustpan	3.98	3.43	5.45
duty	5.81	5.06	5.19
dwarf	5.11	4.32	5.14
dwell	4.87	4.00	5.35
eager	7.32	6.57	5.14
eagerness	6.21	6.29	5.39
eagle	6.03	4.76	4.79
earth	7.15	4.24	5.61
ease	6.93	3.46	6.71
easel	5.41	4.43	5.43
easy	7.10	4.48	7.00
easygoing	7.20	4.30	5.25
eat	7.47	5.69	5.60
echo	6.17	5.07	5.17
ecstasy	7.98	7.38	6.68
ecstatic	8.41	7.71	6.14
education	6.69	5.74	6.15
effective	7.06	5.03	6.13
efficient	7.07	5.57	6.43
egg	5.29	3.76	4.49
ego	5.07	4.66	6.66
ejaculate	5.92	6.62	5.65
elated	7.45	6.21	5.53
elbow	5.12	3.81	4.88
elderly	4.86	4.03	3.83
elegant	7.43	4.53	5.95
elephant	6.48	5.59	4.70
elevator	5.44	4.16	4.32
embark	6.47	5.83	6.17
embarrass	2.50	6.14	2.78
embarrassed	3.03	5.87	2.87
embarrassment	2.34	6.54	2.71
embattled	4.39	5.36	4.81
emotional	4.36	5.75	4.29
empathy	5.32	4.81	4.33
empire	6.26	5.65	6.29
employment	6.47	5.28	5.73
enable	5.93	5.10	5.90
encourage	7.27	5.55	6.48
end	3.44	4.44	4.41
endure	5.50	5.56	5.91
energy	7.23	6.90	6.93
enforcement	4.17	5.73	4.27
engage	6.31	5.96	5.23
engaged	8.00	6.77	6.49
engine	5.20	3.98	5.00
engulf	4.74	4.93	4.37
enjoy	8.17	6.33	6.40
enjoyment	7.80	5.20	6.46
enlist	4.03	5.47	4.41
ennui	5.09	4.40	4.67
enraged	2.46	7.97	6.33
enthusiastic	8.17	7.38	6.75
entry	5.69	4.72	5.81
envious	3.57	5.57	4.54
envy	3.41	5.50	4.12
enzyme	4.90	4.34	4.17
erase	4.17	4.10	4.87
erasure	4.84	4.44	5.12
erect	6.26	6.40	5.87
erode	3.67	5.17	3.97
erotic	7.43	7.24	6.39
err	4.16	4.88	4.31
errand	4.58	3.85	4.78
erupt	5.43	6.57	3.80
essence	6.75	5.18	5.61
estate	6.59	4.86	5.66
evade	4.47	5.60	5.53
event	6.21	5.10	5.52
evict	3.04	5.68	2.92
evil	3.23	6.39	5.25
exalt	6.87	6.00	5.76
exam	2.76	7.03	3.34
exasperation	4.18	5.64	4.57
excel	7.45	5.45	7.00
excellence	8.38	5.54	7.28
excite	7.60	7.16	6.16
excitement	7.50	7.67	6.18
excrement	4.10	4.83	4.53
excuse	4.05	4.48	4.07
execution	2.37	5.71	4.11
exercise	7.13	6.84	5.68
exert	5.35	5.19	6.04
exhale	5.93	4.15	5.96
exhaust	4.00	4.27	4.43
exhilaration	7.43	7.20	6.67
exist	6.68	5.39	4.79
expel	2.77	5.90	3.29
expensive	4.59	6.04	4.57
expert	6.40	5.17	6.23
expire	3.13	4.60	3.87
explosion	5.18	7.93	4.46
extent	5.20	3.83	5.00
extreme	6.39	7.11	5.71
eye	5.86	4.52	5.07
fabric	5.30	4.14	5.03
face	6.39	5.04	5.67
fact	5.55	4.29	5.57
factory	4.59	3.93	4.93
fad	5.08	4.46	4.15
fail	1.79	6.31	3.31
failure	1.70	4.95	2.40
fair	6.67	5.40	5.77
fairy	6.24	4.25	5.43
faith	6.57	5.73	5.60
fake	3.10	5.26	4.58
falcon	5.79	5.14	5.21
fall	4.09	4.70	4.00
false	3.74	4.40	4.20
falter	3.77	5.00	4.00
fame	7.93	6.55	6.85
family	7.65	4.80	6.00
famine	1.86	5.04	2.48
famous	6.98	5.73	6.32
fan	6.36	4.89	5.33
fantasy	7.41	5.14	6.43
farm	5.53	3.90	5.59
farmer	4.93	3.55	5.50
fascinate	7.34	5.83	6.15
fashion	7.04	6.00	6.00
fat	2.28	4.81	4.47
fate	5.43	5.36	4.07
father	7.08	5.92	5.63
fatigued	3.28	2.64	3.78
fault	3.43	4.07	4.02
favor	6.46	4.54	5.67
fawn	6.06	3.72	4.84
fear	2.76	6.96	3.22
fearful	2.25	6.33	3.64
feat	5.62	5.10	5.55
feeble	3.26	4.10	2.71
feeling	6.23	5.00	5.62
feet	4.60	3.67	5.60
female	7.83	5.83	5.57
fence	4.93	3.72	4.97
fender	4.48	4.86	4.97
fern	5.10	3.83	5.30
fervor	5.00	4.81	4.44
festive	7.30	6.58	5.77
fetus	5.21	4.97	4.97
feud	3.07	6.14	4.13
fever	2.76	4.29	3.52
field	6.20	4.08	5.84
